Latitude,Longitude,Crime_Severity,Resolved,Suspect_Arrested,Hour,DayOfWeek
18.918005674754195,72.82394711947748,6,Yes,No,21,1
19.135989317201407,72.84303210927627,4,Yes,Yes,16,6
18.965376428524642,72.83298952095032,1,Yes,No,3,4
19.19009677501966,72.82397667838174,7,Yes,Yes,1,4
19.030794734217032,72.84585052454172,6,No,Yes,9,4
19.197956471842772,72.97944456305248,7,No,No,16,0
18.89750889248647,72.80644164406941,3,Yes,Yes,11,6
18.93432813050468,72.83468585728343,1,Yes,No,6,0
18.91469174222575,72.81396596053577,7,No,Yes,22,3
19.041255100187847,72.87989380038418,4,Yes,Yes,7,4
18.931001095098758,72.81175375840873,6,No,No,3,2
19.174885931621766,72.85415118728352,2,No,Yes,14,2
19.024595505488463,72.84406568130932,5,Yes,Yes,17,5
19.01284999424057,72.81105245690443,3,Yes,Yes,9,0
19.093366867028337,72.88120569807242,3,No,No,4,0
19.039581880511157,72.88357008702852,6,Yes,No,13,2
19.055951809683204,72.88009688933954,3,Yes,Yes,18,4
19.003922348917953,72.827663098177,2,Yes,No,9,4
19.01847594604785,72.84951898404204,6,No,Yes,0,3
19.071273013322248,72.89826990384138,5,No,No,6,2
19.136838140250706,72.84539998827208,4,Yes,Yes,20,2
19.216649232416483,72.99464154765347,2,No,No,5,4
19.020933529998928,72.84111963195473,10,Yes,Yes,8,0
19.076010944904056,72.87268900510333,7,No,No,12,4
18.924212564849206,72.80014502715696,1,No,No,8,1
19.016914382323034,72.82053354197768,2,No,No,18,2
19.204847599517,72.9551785630814,4,Yes,No,7,5
18.93297794546505,72.83998573362226,3,Yes,Yes,13,6
19.184424107613754,72.82021672314279,6,No,Yes,16,0
19.14205571334853,72.87453650366338,3,Yes,Yes,3,6
19.225165621648056,72.98742930457513,3,Yes,Yes,6,0
19.03886268425209,72.83075113256022,3,No,No,8,0
18.927652948571783,72.82545060872076,6,Yes,Yes,2,0
19.108837792591668,72.83143551737874,4,Yes,No,1,2
19.011412768718003,72.83910771504418,6,Yes,Yes,4,1
19.18272619215956,72.83239118780105,9,Yes,No,15,0
19.044628500301513,72.84464583986907,2,No,Yes,2,4
19.189085566231945,72.97725440366077,3,No,Yes,15,4
19.19093532603721,72.8452437389677,1,Yes,No,12,5
19.068456443337897,72.89785602824352,5,Yes,Yes,22,6
19.04427204473467,72.90814876046525,3,No,No,22,0
19.031987682358732,72.83357370385932,6,No,No,21,0
19.034532805647775,72.84871188539785,1,Yes,Yes,6,5
19.192012041929765,72.97201767795035,1,Yes,No,17,5
19.128200111493115,72.83821535274124,5,No,Yes,9,6
19.17995268945663,72.8512155535817,1,Yes,Yes,12,0
19.164538717240063,72.83768919586608,2,Yes,No,3,4
19.18106606549618,72.83099484921017,9,Yes,Yes,5,6
19.173947540450726,72.82317479428993,5,Yes,Yes,12,2
19.053749068884628,72.89046548124409,9,Yes,Yes,13,1
19.205400530732128,72.81349878726253,2,No,Yes,20,4
19.057184239232708,72.8801116949469,6,No,No,16,2
18.998963509365982,72.83032274242389,1,Yes,Yes,8,1
19.116686498968182,72.85428474660019,6,Yes,No,6,4
19.01349277403153,72.84423691262539,6,Yes,No,10,1
19.04180712012881,72.87054654283307,4,No,Yes,20,6
19.10705627268085,72.85910810472824,2,No,No,18,5
19.126145159342467,72.83394542141835,2,No,Yes,2,6
19.204132265246333,72.97164769062994,5,Yes,Yes,21,4
18.92918877805348,72.81925339975776,10,No,No,4,3
19.044653380448906,72.90629818989822,1,Yes,Yes,17,1
19.081325558360195,72.88722428174462,7,No,No,18,5
18.931108978690975,72.83259898951725,4,No,Yes,11,3
19.02537320786506,72.85279843534298,5,Yes,No,15,6
19.057171400229375,72.89792935587809,5,Yes,Yes,7,5
19.042572296860506,72.89080562289669,6,Yes,Yes,17,2
19.02864718217638,72.89174168824934,3,Yes,Yes,9,1
19.17795243907568,72.83864219992464,5,Yes,Yes,7,3
19.00239676692707,72.83717503558654,4,Yes,Yes,13,4
19.170483459658627,72.83231160665783,6,Yes,No,12,5
19.04487064369977,72.9068296081475,1,Yes,Yes,18,2
19.00572868963343,72.81896872747782,2,No,No,14,0
19.0296647119692,72.85727947398296,3,No,Yes,11,4
19.190799295265833,72.83768431308819,5,Yes,Yes,22,4
19.213917102170342,72.97085557305135,6,Yes,Yes,16,6
19.180045596414434,72.82646387583938,10,Yes,No,18,5
19.005321887109424,72.84945182097809,3,No,No,3,6
19.065443047727875,72.88337816814906,7,Yes,No,6,1
18.93555568089584,72.80387354465044,1,No,Yes,4,1
19.040933767924855,72.89466629217266,5,Yes,No,20,1
19.02202884927441,72.82889905026092,5,No,No,21,0
19.058697526625185,72.87017145523606,1,No,No,15,4
19.181988057112257,72.82154230311174,5,Yes,Yes,0,1
19.054451926058206,72.89593724628764,6,Yes,Yes,23,0
19.165311397178783,72.82566371317678,1,Yes,No,14,1
19.22423969055801,72.99708857515886,3,Yes,Yes,12,4
19.186964560278987,72.85673561957006,1,No,Yes,19,3
19.01869056340106,72.83719614937657,9,Yes,Yes,9,3
18.922669082631653,72.82290699741657,9,No,No,18,6
19.04796293753183,72.90598195664035,1,No,Yes,16,4
19.21672346541004,72.96838658888174,6,Yes,Yes,5,5
19.188974464912736,72.84449776895474,3,Yes,Yes,13,5
19.06472490533408,72.89614737448812,3,Yes,Yes,13,1
18.930782184025386,72.83605632482076,4,No,No,18,3
19.188737766529766,72.8395842832542,7,Yes,Yes,1,2
19.073206846817335,72.8850926933895,3,Yes,Yes,7,4
19.022832246209944,72.84681939235966,7,Yes,Yes,6,4
19.058219422330865,72.87551411589678,3,No,No,18,3
19.162810010549954,72.83116835161678,2,Yes,Yes,8,5
19.201831053501362,72.98300505795805,5,Yes,Yes,2,4
19.042797931974743,72.89098635053513,6,Yes,Yes,14,2
19.069095119132875,72.87286566067093,6,No,Yes,7,5
19.00196609111896,72.84330714852366,2,Yes,Yes,16,5
19.087075451081287,72.87374152313781,2,No,No,19,4
19.06579382228067,72.88521381895785,7,No,No,18,2
19.037088080562462,72.88750648781067,7,No,Yes,11,5
19.059216262932292,72.89723559205382,1,No,No,15,6
19.163970563632198,72.83331866491272,2,Yes,Yes,13,5
18.946519065455927,72.8065259210431,1,Yes,No,14,2
19.174971231050122,72.82535691859384,6,Yes,No,1,0
19.162689457187827,72.8312011297627,3,Yes,Yes,21,6
19.09051286770706,72.89895530977775,1,No,Yes,8,5
19.121071716458705,72.8570698867814,6,No,Yes,0,4
19.022190630482132,72.8463060927143,5,Yes,Yes,11,5
19.129696633857215,72.84623257096949,9,Yes,Yes,6,2
19.16677889156683,72.83584311211882,4,Yes,Yes,23,0
19.0657826099283,72.8741519821492,5,No,Yes,3,3
19.007025882653988,72.84831188327178,2,Yes,No,8,0
19.024225617947508,72.86383783138184,1,Yes,Yes,16,2
19.21264462270956,72.96975796773764,4,No,No,1,4
18.93660453888374,72.81193628453232,5,No,No,17,0
19.19772672628116,72.96951785067348,2,Yes,Yes,20,5
18.996073212913153,72.82963195253987,3,Yes,Yes,8,4
19.120946473463224,72.84312890837664,4,Yes,No,18,5
18.913731639324624,72.79871179990438,3,Yes,No,17,1
19.169624181939334,72.82123811703052,4,Yes,Yes,11,6
19.07844611574374,72.86884683551098,3,No,Yes,1,4
19.14404241250078,72.82620690212245,3,Yes,No,15,5
19.015431223047997,72.85500239054774,2,No,No,22,6
19.18943386993818,72.81726412169576,3,No,No,4,4
19.197639100337145,72.97439347961878,5,Yes,Yes,10,5
19.203807072982876,72.98797093217263,4,Yes,No,16,4
19.041062737027985,72.86474000674058,2,Yes,Yes,2,6
19.079889940970656,72.91130875187807,2,No,Yes,13,5
19.21286164241195,72.96704390288293,5,Yes,No,23,6
19.21923230772269,72.97892783552142,7,No,Yes,17,4
19.203808106902027,72.97076778792243,5,No,Yes,19,3
18.91152804395633,72.8346624023538,4,No,Yes,17,3
19.184461783890956,72.81202655933845,1,Yes,No,3,4
19.18813910307992,72.84286736955306,3,Yes,No,10,2
19.014707681799713,72.83757220835808,7,Yes,No,17,3
19.19016943602924,72.85107030282225,3,Yes,Yes,4,0
19.14057925548622,72.8715456085274,1,Yes,Yes,11,6
19.17336924966217,72.82270014619445,7,Yes,Yes,14,0
18.920034237704897,72.798864573408,2,No,No,9,2
19.062901238212163,72.87214117033474,3,Yes,Yes,0,4
19.195594854296807,72.98336599447589,5,Yes,Yes,16,6
19.008926065543953,72.84284180394084,7,Yes,Yes,9,3
19.12822947476521,72.86090464934898,4,Yes,Yes,8,3
19.080961058060545,72.89048060915933,5,No,No,6,3
18.937683655296254,72.81488072968283,6,No,Yes,23,6
19.09690725492182,72.8648154677012,2,No,Yes,1,5
19.210453448203616,72.98713216283991,6,Yes,Yes,19,5
19.168620926593842,72.83299544625187,5,Yes,Yes,15,3
19.084210649287733,72.90003612665988,2,Yes,No,6,6
19.0527544073015,72.8807800772779,5,Yes,Yes,0,1
19.12923059157401,72.85388710559427,8,Yes,No,16,5
19.03064207534519,72.84732646943665,7,Yes,Yes,14,3
19.057584459611355,72.87314585619716,4,Yes,Yes,14,0
19.187099207674287,72.82749623270676,7,No,Yes,1,5
19.124057573000208,72.85806675536959,7,No,Yes,16,3
19.191137011503272,72.8253114463161,5,Yes,Yes,15,4
18.93406813376112,72.8020300026634,3,No,No,13,5
19.217769878444916,72.9595090761778,2,Yes,Yes,4,0
19.069241885530186,72.89378719406857,2,Yes,Yes,3,5
19.06331928395398,72.90999359284494,3,Yes,No,7,3
18.950599098879255,72.84710701571908,2,No,No,16,2
19.022812044189177,72.83961200763693,9,Yes,No,21,6
19.22179585946633,72.98283360919449,6,Yes,Yes,13,5
18.918560405357063,72.79758707188914,4,No,Yes,20,0
19.169728932993234,72.8514359195369,3,Yes,Yes,15,5
19.06029956886768,72.91978796196085,4,Yes,Yes,21,0
19.122961988219913,72.84228661079759,4,No,Yes,16,4
19.210122821006074,72.99227825941155,6,Yes,No,13,2
19.060620937844046,72.89194398261567,7,Yes,Yes,5,3
19.019311727585873,72.83117437411332,6,No,No,14,6
19.131185740811954,72.85621381642278,7,Yes,No,11,0
19.20706553959926,72.9695470117592,7,Yes,No,12,2
19.025745064726053,72.84038864445633,6,Yes,No,6,2
19.108944609920666,72.86192462953585,1,No,Yes,20,6
18.90734892563957,72.83227276094605,4,Yes,Yes,14,0
19.029046904083092,72.83946451846978,5,Yes,Yes,16,2
19.136955338010367,72.86501336130367,2,No,Yes,9,4
18.940982303900846,72.80170226523278,1,No,No,17,5
18.935469916452654,72.82279668857798,7,No,No,3,0
18.925194669112656,72.82814041335742,7,No,Yes,20,0
19.177613015111806,72.80938763312372,1,Yes,No,23,2
19.224157374943264,72.9651672705031,2,Yes,Yes,14,2
19.028229472411656,72.83990854945492,7,No,Yes,19,3
19.17599537570803,72.85132330317293,1,Yes,Yes,1,1
19.196856348352924,72.82989058550805,1,Yes,Yes,11,4
18.948632526317407,72.81502332249126,2,Yes,No,3,4
19.137341486899093,72.84500934570138,5,No,Yes,6,4
19.207709289954643,72.98668878866518,4,No,Yes,3,2
19.18480194404128,72.79459033453561,2,Yes,Yes,3,3
19.14588205287635,72.84856040804374,2,Yes,Yes,3,2
19.199911731123343,72.98940337838441,4,No,No,12,1
18.936753997727493,72.79868347810256,3,Yes,No,10,1
19.20641274700228,72.99750037773329,1,Yes,No,17,5
19.1607025365226,72.82457292152364,2,Yes,Yes,19,0
19.069144845637588,72.87569755851051,3,Yes,Yes,19,1
19.198736536592595,72.82782878442059,3,No,Yes,12,3
19.085900850645867,72.89032418126418,5,No,Yes,23,5
19.211302392586013,72.97405245486155,6,Yes,No,13,1
19.197714152676873,72.96876952276057,2,Yes,No,15,0
19.19055243052133,72.82195287753527,4,Yes,Yes,7,1
19.015038461668993,72.83213041215183,7,Yes,No,4,4
19.003717402598976,72.81347743487807,4,Yes,Yes,19,0
19.053833287678557,72.8889033426638,9,Yes,Yes,14,4
19.012194110698264,72.8203538649706,2,Yes,No,16,1
19.02492224408242,72.82053829712862,1,Yes,No,5,4
19.027750015731034,72.8264485169943,3,Yes,Yes,0,6
19.109377450786834,72.84333216306466,3,Yes,No,13,0
19.02206627242002,72.8466816713713,5,No,Yes,2,1
19.17486114137892,72.82883637802571,6,No,No,21,4
19.192024265709573,72.81984332024814,3,No,Yes,4,4
18.933666065118647,72.80637965275675,1,No,No,5,5
19.21158857066407,72.97528589888408,10,No,Yes,17,6
19.135515894140703,72.84466165150161,7,Yes,No,19,2
19.214113620027813,72.98016990355954,8,No,Yes,6,2
19.062722125124775,72.88713873760406,6,No,No,17,4
19.02694856718207,72.85056836060852,4,Yes,Yes,14,4
19.131815861895394,72.853716348056,9,Yes,No,0,2
19.119236419373713,72.84400158058229,5,No,Yes,19,6
19.13195031788845,72.84329223345463,7,Yes,Yes,11,5
19.05283441890569,72.8838196733551,1,No,No,6,5
19.059206835441287,72.86924861281408,2,Yes,Yes,9,5
19.185212265750245,72.8352813199011,6,No,No,2,2
19.11760434656523,72.82595142771058,3,Yes,Yes,14,3
19.081464460092075,72.88319538270572,4,Yes,Yes,17,6
19.20706815934966,72.99736021137468,2,Yes,No,12,1
18.92668924884556,72.80964454527559,6,Yes,No,20,0
19.021975563939815,72.82835222953229,4,No,No,13,2
19.20441437631314,72.9866906748175,7,Yes,Yes,20,2
18.933740456940782,72.8264228257556,6,No,No,11,2
19.015362081574633,72.83465712761587,6,Yes,No,3,4
19.178628528760377,72.83281480109163,10,Yes,Yes,16,4
19.173844462723586,72.81180494099519,1,Yes,Yes,21,4
19.128198915425664,72.84260318344135,5,Yes,Yes,14,4
19.05156318439155,72.88446031537659,7,Yes,Yes,11,3
18.90302857226791,72.81712395301828,2,Yes,Yes,2,0
19.214656494445123,72.97976733558168,9,No,No,11,4
19.022090037166016,72.83997900754159,10,Yes,Yes,9,4
19.03280514166827,72.825150425962,2,Yes,Yes,11,1
19.066945654975544,72.8979494056736,4,Yes,Yes,10,0
19.1722907372316,72.80871493046625,2,Yes,Yes,10,2
19.20569104590917,72.98846008188468,5,Yes,Yes,1,2
19.018163396151603,72.83854786124799,9,No,Yes,5,2
18.939731334985506,72.81814671122126,7,No,Yes,20,3
18.92723127901185,72.82870839521696,4,No,Yes,19,2
19.059681555436736,72.88276404185461,6,Yes,No,20,2
19.208039610723933,72.84694237021408,1,Yes,Yes,2,5
19.128888247550577,72.85981851593633,5,Yes,No,21,0
18.93853261219891,72.83397249283557,1,Yes,No,21,2
19.062297812011064,72.89827782848772,6,Yes,Yes,5,1
19.066203069092353,72.87296864230194,4,No,Yes,13,5
19.137669246178323,72.83979559602777,4,Yes,Yes,19,6
19.086507507748756,72.9045877437984,2,No,No,18,0
18.910783369465126,72.83081680827826,3,No,No,10,3
18.936962682972545,72.82949593695514,3,Yes,No,9,0
19.174894763218006,72.83766656245051,6,Yes,Yes,15,0
19.037995465678915,72.88350866895004,6,Yes,Yes,3,3
19.187209295598667,72.80728832485141,3,No,Yes,3,2
19.012801661274903,72.85577718121382,3,Yes,Yes,20,3
19.18664202568472,72.9693499080736,1,No,No,19,4
18.93772649230286,72.82524685007847,4,No,Yes,1,0
19.085906581793356,72.90240571545196,1,No,No,13,0
19.1323429014918,72.8488279825224,9,No,Yes,11,2
19.013750368003386,72.86601887989907,1,Yes,No,17,2
19.092366697899077,72.89027685061494,3,Yes,Yes,2,5
19.191278353118552,72.831598263887,7,Yes,Yes,11,5
19.05895594884145,72.87474558828096,1,No,No,17,5
19.019490373369507,72.82700081448893,7,Yes,Yes,23,4
19.203180531324218,73.00880564996352,3,No,Yes,10,2
19.05685282306166,72.9034057919154,2,Yes,Yes,17,5
19.126165834444098,72.85688362515504,4,Yes,Yes,11,0
19.177435627834996,72.83878487885708,7,Yes,No,2,1
19.145758612909376,72.84123648864352,1,Yes,Yes,1,6
19.068136291428566,72.87902477399037,7,Yes,Yes,5,2
19.05384800196017,72.8882589102191,9,Yes,Yes,12,3
19.127256050047475,72.883154886445,2,No,No,7,3
19.220300804455253,72.98154611664724,5,Yes,No,10,2
19.06540271058262,72.8712832793412,1,No,No,23,0
19.12887981165506,72.86158612399832,4,Yes,Yes,19,2
19.05270931727712,72.87967921100648,4,Yes,Yes,5,0
19.191646678040016,72.96750271652166,1,Yes,No,0,1
19.04070949434859,72.91065416941127,4,Yes,No,19,3
19.056749947401936,72.87974883998652,2,No,No,17,5
19.02572900632277,72.8387450111092,7,Yes,Yes,10,3
19.120582373447824,72.8402939582042,5,Yes,Yes,13,3
19.126766385527254,72.83569953158546,4,Yes,Yes,2,0
19.01358258941754,72.85784554759329,3,No,Yes,10,1
19.069546383662978,72.88078397439283,5,No,No,1,6
19.11790318169731,72.8354051340495,3,No,No,23,4
19.20000061015535,72.82929884685672,4,No,Yes,0,0
19.17357000915266,72.82710875271692,4,No,Yes,5,3
19.04931375644676,72.90480553982898,5,Yes,Yes,8,5
19.011464173486036,72.86803785688627,3,No,Yes,11,4
19.027625002686985,72.84270536086288,6,No,No,17,1
19.072972619239497,72.87146147050251,4,No,Yes,19,6
19.08749111978785,72.87432694534085,2,No,No,8,2
19.033743662665163,72.83846276016187,5,No,Yes,5,0
19.0490498259185,72.89332367862332,9,Yes,Yes,2,0
18.9355713435828,72.81635371423529,6,No,Yes,23,5
19.10118688201574,72.89064760210026,3,No,No,14,2
18.94119486135909,72.81440998658805,3,Yes,No,5,5
19.026698298993256,72.83407896635526,7,No,Yes,22,6
19.01793041470211,72.85265094323681,7,Yes,Yes,12,3
19.141738619929427,72.83669238255379,2,Yes,Yes,19,3
19.02691141416961,72.9021181315125,3,Yes,Yes,10,6
19.027809097714005,72.84671225929074,7,Yes,No,6,6
19.057455742691815,72.89289267229097,2,No,No,8,6
18.932577075037237,72.83790179559831,2,No,Yes,11,5
19.040377567154785,72.9059966687964,1,Yes,Yes,0,4
19.13028228755018,72.86452192417862,4,Yes,Yes,16,2
19.119407934778753,72.8281247028837,2,Yes,No,18,2
19.054553541801745,72.86991398557417,4,No,Yes,19,2
19.05724212306467,72.87717051478919,6,Yes,Yes,2,1
19.21193311893335,73.00810380916279,3,Yes,Yes,7,6
19.063657654619504,72.90877874148318,3,Yes,Yes,4,1
19.036403586613833,72.90047370470437,4,Yes,Yes,16,1
19.034151216527018,72.83354624197713,3,No,No,16,6
19.018568644681434,72.84678052930352,6,Yes,No,8,1
19.16353036917364,72.83604223830335,1,Yes,No,13,1
19.135551673873884,72.8381041207531,5,Yes,Yes,11,2
19.16670249847105,72.82043066456318,4,Yes,Yes,17,5
19.065009049666845,72.86475560338559,2,No,No,7,3
19.064030625491444,72.90583598339437,2,Yes,Yes,3,0
19.208254937189952,72.96630182344428,4,Yes,No,16,3
19.17563785765855,72.82758045929174,8,Yes,Yes,13,0
19.046901348538377,72.87018174874609,3,No,Yes,20,6
19.034840579115816,72.84858619924123,2,Yes,No,17,6
19.03835711661471,72.89431436385549,5,Yes,Yes,6,4
19.19034889310181,72.84777281042372,2,Yes,No,6,3
19.159601797428785,72.83248792318135,2,Yes,No,10,0
19.136704920569706,72.85653239979031,4,Yes,No,3,0
19.066403730927156,72.89622050468786,2,Yes,No,8,3
19.069635798499473,72.87852995815214,6,No,No,17,0
19.134055257231783,72.84736257148353,8,Yes,Yes,4,1
19.169494072138868,72.83678755744525,6,Yes,Yes,23,2
19.069416564706895,72.88148478859539,4,No,Yes,6,4
19.09063661353705,72.88988793109537,1,No,Yes,14,3
19.039683715275032,72.8849419244184,6,Yes,Yes,14,5
19.17612692144936,72.83619397955563,4,Yes,Yes,1,2
19.15707796743146,72.85336652609938,2,No,Yes,6,6
19.219879323341708,72.97648242226873,5,No,Yes,0,3
19.12320173609865,72.8455192207964,6,Yes,Yes,4,0
19.18027297522551,72.83926104687035,4,Yes,Yes,13,0
19.17733446397365,72.85134651463119,2,No,No,4,4
19.202452905106657,72.98410912392397,6,Yes,No,14,2
19.057563514272267,72.88898562985669,5,No,No,5,1
19.08781259976715,72.88220513572384,5,Yes,No,23,1
19.215698585569918,72.98143937747369,7,Yes,Yes,8,5
19.05864078906446,72.88251272205507,6,No,Yes,2,3
19.132112836248517,72.84413047522966,7,No,Yes,10,2
19.01073994238029,72.85748889983032,3,Yes,Yes,9,6
19.027205909804785,72.85338627243644,2,No,Yes,4,5
19.076682711749324,72.91941442896616,4,No,No,3,1
18.933053403731662,72.83969419583786,1,No,Yes,22,4
18.916304951992988,72.83722062654714,1,No,Yes,8,1
18.94082714683928,72.82235063191125,2,Yes,No,10,5
19.191960491471935,72.82651615261219,7,Yes,No,23,6
19.048392867794284,72.88396496514964,6,Yes,Yes,14,3
19.00423779403991,72.83533700798733,1,Yes,Yes,23,3
19.070525877620767,72.88130966863469,6,No,No,14,1
19.12565426473438,72.84628909447937,7,Yes,Yes,19,3
19.139869734432885,72.84582340700747,6,Yes,No,16,1
19.035020756623002,72.8411656132198,3,Yes,No,0,1
19.177730387114174,72.82341764667473,5,Yes,Yes,5,1
19.155324852977454,72.8457639118876,2,Yes,Yes,12,4
19.113203175489016,72.84301466386853,4,No,Yes,20,4
19.047265528986244,72.8649733454073,3,Yes,Yes,13,3
19.01166318058514,72.82845774450254,6,Yes,No,17,3
19.054150683021014,72.89689745374513,4,Yes,Yes,7,1
19.197302803140737,72.98550532736543,7,Yes,No,15,5
19.03922437247518,72.8708707795261,1,Yes,No,22,1
19.042082966784907,72.80678530150638,2,No,No,9,4
19.06356990936217,72.89777640691285,3,Yes,Yes,22,2
19.01663076002114,72.83854215991363,8,No,Yes,2,6
19.01621474772959,72.84605562617713,5,Yes,Yes,10,5
19.045985265557288,72.87596869503732,7,Yes,Yes,15,1
19.055740043434124,72.88555829543917,4,Yes,Yes,2,2
19.014178577113164,72.842829691138,5,No,No,16,3
19.02310977499728,72.83055513953194,5,Yes,Yes,15,0
19.053135831404635,72.88849819011818,10,Yes,Yes,3,4
18.905357506887775,72.81715693827519,1,Yes,Yes,11,4
19.11361082140919,72.84294371137273,3,Yes,Yes,22,4
19.08088071041095,72.88060916967261,4,Yes,No,12,5
18.909169231849983,72.83615249161691,2,Yes,Yes,3,3
19.019828312809608,72.8502623017183,5,No,Yes,8,4
19.058939460330983,72.88138074957502,1,Yes,No,17,3
18.913183695814826,72.82715921810427,4,No,No,23,5
19.055332078603936,72.8959099089786,5,No,No,2,0
19.207868195632514,72.98510824486485,6,No,Yes,23,6
19.1210257164946,72.84933924386165,7,Yes,No,16,4
19.085135100982715,72.88461951494362,5,No,Yes,23,6
19.163014771393208,72.83399372406019,4,Yes,Yes,5,0
19.075283708200157,72.91079910058679,2,Yes,Yes,1,0
19.17722704360906,72.82389051762017,7,Yes,No,13,2
19.06174882798938,72.8965615959259,2,No,Yes,18,4
19.12511278652982,72.86143450954224,4,No,No,3,3
19.209916119681044,72.9760804978832,9,No,No,13,1
19.07648711496517,72.89929794258214,5,Yes,Yes,22,0
18.93486386420343,72.81433126219888,6,No,Yes,0,4
19.04356561450594,72.87267657257951,2,No,Yes,22,2
19.051357600733844,72.87268062798194,4,Yes,Yes,10,6
19.055051916640558,72.90027872329426,7,No,No,11,4
19.1713600713219,72.82943260614184,7,No,Yes,4,1
19.204960341750702,72.9829193478341,4,Yes,Yes,15,1
19.170837589625716,72.80632567942487,3,Yes,No,4,5
18.941969819508085,72.82370596830523,2,Yes,No,0,5
19.167096242129624,72.83590322051359,4,Yes,Yes,11,4
19.202000755195762,73.00078095555057,1,Yes,Yes,17,0
18.931461185411425,72.82798365801442,6,Yes,No,0,1
19.097766272916328,72.90387790687724,1,Yes,Yes,21,1
19.04973871501117,72.90417996494163,6,Yes,Yes,21,4
19.228357036101066,72.97767813589032,1,Yes,No,15,1
19.198458392571574,72.83504419694418,1,Yes,No,19,3
19.046651340219604,72.84210837339222,2,Yes,Yes,11,2
19.205238291745474,72.98248740808039,5,No,Yes,19,4
18.924827313584476,72.8180872558281,9,No,Yes,9,2
19.04294778253189,72.8974367738199,6,Yes,No,14,2
19.091554650774505,72.89908228853218,2,No,No,23,5
19.068038511191226,72.87705971395137,1,No,Yes,4,2
19.074099350414507,72.9022829157368,1,No,No,22,3
19.204319012447154,72.95385620516389,4,No,No,6,4
19.209052825312593,72.97072081447769,4,Yes,No,20,3
19.061958711139543,72.87544355861857,2,No,No,15,3
19.06814903534684,72.88005400738969,3,Yes,Yes,0,2
18.93226026332374,72.81641338503793,6,No,No,3,3
19.128496485949032,72.85051815818098,10,Yes,Yes,8,2
19.066922167472445,72.89210196501196,1,Yes,Yes,10,2
18.927773822402767,72.80494281184356,3,Yes,Yes,0,1
19.190158297877986,72.83508774716138,6,Yes,Yes,13,4
19.02732012186791,72.82359110809408,3,No,Yes,4,6
19.120516184175525,72.84876926504559,4,No,No,9,1
19.048527318299033,72.87086276138808,1,Yes,Yes,7,3
19.028166340213325,72.82674793354907,4,Yes,No,23,0
19.188233717152112,72.83615526935334,6,Yes,No,13,6
19.211092632180726,72.97390934692001,6,Yes,No,5,6
19.033427681876052,72.84743683273192,3,No,No,18,4
19.13142598663571,72.87678536364002,1,Yes,No,17,2
19.177161920602213,72.81185462572229,3,Yes,Yes,6,4
19.018172133071264,72.8408228425542,10,Yes,Yes,8,3
19.08790946542548,72.88430873126964,6,No,No,22,2
19.044221967184654,72.86835197057579,3,Yes,No,14,6
18.997916663081227,72.8181636491193,2,Yes,Yes,5,5
19.184814939562692,72.826036868934,6,No,Yes,18,3
